StateName,zhvi,zori,homeowner_affordability,renter_affordability
CA,479123.77600752504,2128.3106642855955,44.58690773405075,28.814951035630184
CO,493833.9944068794,1853.5380600662031,36.99788144207245,24.00430341629768
