RegionID,SizeRank,RegionName,RegionType,StateName,date,zhvi,zori,homeowner_affordability,renter_affordability
102001,0,United States,country,,2026-02-28,360590.9882494712,1895.0814292256796,32.34443553606659,26.29767474789247
394357,63,"Bakersfield, CA",msa,CA,2026-02-28,358484.19783323054,1757.0215849513345,36.38246179106449,27.74605821719612
394464,215,"Chico, CA",msa,CA,2026-02-28,396530.6148295353,1604.3656644357873,45.53840966348433,28.20897749727735
394472,492,"Clearlake, CA",msa,CA,2026-02-28,302573.62189120287,1578.0185185185185,,
394508,840,"Crescent City, CA",msa,CA,2026-02-28,357573.2983326094,1558.3333333333333,,
394559,245,"El Centro, CA",msa,CA,2026-02-28,370639.3315931234,1620.3333333333333,42.79808796647302,30.3174928095956
394577,315,"Eureka, CA",msa,CA,2026-02-28,425521.7164931283,1464.3504273504277,,
394619,57,"Fresno, CA",msa,CA,2026-02-28,404096.9726345386,1842.00051174362,38.39263696954463,27.777379664400332
394662,290,"Hanford, CA",msa,CA,2026-02-28,357517.5214872472,1768.235294117647,33.05690539601831,26.771119565871658
753899,2,"Los Angeles, CA",msa,CA,2026-02-28,954296.0881354932,2884.124774777187,67.4642945952077,33.91167606897257
394814,275,"Madera, CA",msa,CA,2026-02-28,418596.6858028828,2195.142857142857,43.933646271560015,36.7731275485853
394851,177,"Merced, CA",msa,CA,2026-02-28,412987.2925727268,1875.6544715447155,44.070561292601965,32.60004943057531
394871,103,"Modesto, CA",msa,CA,2026-02-28,461628.6587358197,2061.4784714283346,41.814609584329574,30.208935306794533
394900,312,"Napa, CA",msa,CA,2026-02-28,886032.313212111,2745.9523115280595,53.56616506757115,24.95735340141611
394952,71,"Oxnard, CA",msa,CA,2026-02-28,870005.7991765394,3005.057279514765,52.325876057076314,29.76935523570728
395016,506,"Red Bluff, CA",msa,CA,2026-02-28,312612.1425388859,1320.4166666666667,,
395018,240,"Redding, CA",msa,CA,2026-02-28,367422.3851587922,1591.13591954023,38.14142245094326,25.60394727173099
395025,13,"Riverside, CA",msa,CA,2026-02-28,580339.7471263059,2477.9727378202124,45.10325417549953,30.93068993962602
395045,26,"Sacramento, CA",msa,CA,2026-02-28,572871.8625050423,2211.4823274410774,41.116628215653286,25.394092797450107
395050,125,"Salinas, CA",msa,CA,2026-02-28,833012.5949877566,2825.730053801091,61.14771378075261,34.5850847651502
395056,17,"San Diego, CA",msa,CA,2026-02-28,928459.3690840738,2871.4440038425814,58.01935740174521,29.7752129347196
395057,12,"San Francisco, CA",msa,CA,2026-02-28,1116382.6832890837,3103.0446242787534,57.153505925632764,25.90790085932269
395059,36,"San Jose, CA",msa,CA,2026-02-28,1605186.1530338794,3430.8720672018244,64.41873172645735,23.21779658786238
395061,175,"San Luis Obispo, CA",msa,CA,2026-02-28,889478.3235489711,3021.5062963116284,59.462578388059065,33.62021679546195
395065,183,"Santa Cruz, CA",msa,CA,2026-02-28,1122722.9488676237,3358.89804779917,71.30493471511569,35.40845560554684
753917,124,"Santa Maria, CA",msa,CA,2026-02-28,975739.6013605,3279.105659976638,68.69822259494714,38.77683367514297
395068,112,"Santa Rosa, CA",msa,CA,2026-02-28,781998.7680665433,2615.661212039571,51.05284612753444,27.64397059994827
753920,569,"Sonora, CA",msa,CA,2026-02-28,385453.8436414924,1458.3333333333333,,
395134,77,"Stockton, CA",msa,CA,2026-02-28,527495.8586575715,2360.2647035960185,39.940708661411776,28.73062809859771
395141,793,"Susanville, CA",msa,CA,2026-02-28,225530.0567790122,1308.3333333333333,,
395166,389,"Truckee, CA",msa,CA,2026-02-28,598342.1768655136,2398.7559523809523,,
395175,416,"Ukiah, CA",msa,CA,2026-02-28,496618.89327923045,2053.472222222222,,
395183,123,"Vallejo, CA",msa,CA,2026-02-28,572734.7556679866,2383.124409037969,43.64780990223531,28.89927397266266
395195,119,"Visalia, CA",msa,CA,2026-02-28,356157.10680535506,1730.992673992674,36.15919628540739,28.36299966760201
395246,247,"Yuba City, CA",msa,CA,2026-02-28,424317.5385328706,1886.350451291628,37.05779195238396,26.033115318819576
394405,156,"Boulder, CO",msa,CO,2026-02-28,713733.3620557905,2237.674005656929,47.97655503842862,24.801917191059637
753871,811,"Breckenridge, CO",msa,CO,2026-02-28,972835.8108536324,3438.9076923076923,,
394437,612,"Ca-¦on City, CO",msa,CO,2026-02-28,334849.3512475336,1330.059523809524,,
394484,80,"Colorado Springs, CO",msa,CO,2026-02-28,452352.00146292266,1693.6207924148655,32.968614604689336,21.22672634238676
753874,937,"Craig, CO",msa,CO,2026-02-28,296452.3734448307,,,
394530,19,"Denver, CO",msa,CO,2026-02-28,566588.16307631,1843.742786799073,36.99788144207245,19.40864330579774
394547,567,"Durango, CO",msa,CO,2026-02-28,661670.5853018678,2016.538888888889,,
394556,566,"Edwards, CO",msa,CO,2026-02-28,1297839.0856806524,3634.175,,
394602,152,"Fort Collins, CO",msa,CO,2026-02-28,546457.6360350531,1969.9150877379936,38.2313538184439,24.004303416297677
394606,827,"Fort Morgan, CO",msa,CO,2026-02-28,321579.564225546,1225.0,,
753881,456,"Glenwood Springs, CO",msa,CO,2026-02-28,958122.772203776,2875.2475427350423,,
394639,280,"Grand Junction, CO",msa,CO,2026-02-28,421990.2330638852,1724.6264262053735,38.69634286655911,25.833747763016788
394645,161,"Greeley, CO",msa,CO,2026-02-28,493833.9944068794,1714.1232804232804,33.66594106890538,19.08156513713519
394876,628,"Montrose, CO",msa,CO,2026-02-28,484851.8552730598,1863.3333333333333,,
395007,264,"Pueblo, CO",msa,CO,2026-02-28,284345.36460928526,1301.4481845098956,34.3550246836572,24.12443572577221
753921,867,"Steamboat Springs, CO",msa,CO,2026-02-28,1102897.7976022807,3011.1111111111118,,
395130,890,"Sterling, CO",msa,CO,2026-02-28,248416.5322723935,1219.0277777777776,,
