StateName,date,homeowner_affordability,zhvi,zori,renter_affordability
CA,2014-10-31,32.47811233669372,276430.8341427572,,
CA,2014-11-30,32.56086164127823,278722.33953755785,,
CA,2014-12-31,32.31584276201694,280810.3379404581,,
CA,2015-01-31,31.685840406004676,282580.8970737899,1445.3590412303333,27.139848089950018
CA,2015-02-28,31.882498587571135,283778.82804507,1439.9627017601272,27.172270558982156
CA,2015-03-31,32.14573179379734,284688.3025712929,1448.3900726931552,27.21427615369941
CA,2015-04-30,31.979184200137492,285887.5771373126,1460.7229639258076,27.377348950633817
CA,2015-05-31,32.58628637987594,287697.93665957166,1472.0832088127972,27.563779492101823
CA,2015-06-30,33.07744468821775,289672.6678585123,1483.4015553675304,27.621496790559988
CA,2015-07-31,33.292297481312474,291507.6874129029,1483.744384223431,27.6316146913449
CA,2015-08-31,32.88796449863915,292988.2283432621,1497.7992653108886,27.620502535054918
CA,2015-09-30,32.86570689900594,294223.0004327171,1467.6152479285147,27.16914442160351
CA,2015-10-31,32.647809646758546,295169.2624285054,1482.91366488204,27.18458690856977
CA,2015-11-30,33.131294545034166,295837.6049326515,1485.3705308033277,27.197850485836376
CA,2015-12-31,33.24275754501675,296386.6617788963,1419.5237262652026,27.159572182185876
CA,2016-01-31,33.16823113284405,297899.15259332786,1421.5163707308222,27.21118145993903
CA,2016-02-29,32.72305618629133,300083.4296627486,1426.410425077268,27.295591694307767
CA,2016-03-31,33.008772680941945,302781.8820055787,1437.1236916906403,27.41590106679748
CA,2016-04-30,32.90220024501844,305348.7478300371,1529.323437938163,27.47959185932536
CA,2016-05-31,32.9984265142049,307585.27196112485,1549.1469595747496,27.49215293366426
CA,2016-06-30,32.98201284085829,309794.9548731997,1556.346651972478,27.681735772633843
CA,2016-07-31,32.61389594070762,311444.23406392103,1562.3905149874088,27.8466111467799
CA,2016-08-31,32.56993414189075,312831.70249448484,1572.5250559118354,27.78590449614093
CA,2016-09-30,32.54334401227983,313319.1874550412,1575.0578699343837,27.862194441685823
CA,2016-10-31,32.457555134912525,313607.11265171546,1575.2127310971357,27.92826784583344
CA,2016-11-30,33.32605467768695,313538.9781849615,1581.9347921898384,28.08035648195511
CA,2016-12-31,34.722951587378844,314147.6156981154,1590.7644889244973,28.04878602773465
CA,2017-01-31,34.50632860220806,316115.71252340905,1610.2684808536171,28.07756010231051
CA,2017-02-28,34.70064643947215,319674.94530756085,1621.1473370601896,28.074265389450048
CA,2017-03-31,34.94117883465988,324401.0940242623,1705.2894589792231,28.2327797865866
CA,2017-04-30,34.62135043704329,328946.6555771624,1640.0570880773805,28.2266625380604
CA,2017-05-31,34.59212485248084,332391.5201986721,1661.1566573903583,28.31655521681184
CA,2017-06-30,34.31675536324654,335166.326014595,1680.1805808745378,28.422938409160007
CA,2017-07-31,34.52370913807522,337300.5456598641,1703.0912521394732,28.441636299151803
CA,2017-08-31,34.29149501711275,339805.460580018,1709.0248910096825,28.52158671787211
CA,2017-09-30,34.10356074424229,342681.06344758987,1716.798418461184,28.42755274121726
CA,2017-10-31,34.476266073351105,346315.57087709074,1712.8275190504437,28.391871040471873
CA,2017-11-30,34.655117881224,349863.38786545594,1715.7571696127598,28.35590954390893
CA,2017-12-31,34.8934468769591,353481.8117902919,1714.4148061807966,28.331362207549788
CA,2018-01-31,35.17096755025443,356675.6131608855,1715.992097522102,28.270190588356808
CA,2018-02-28,36.196843936330886,359640.36718756065,1728.4499757990598,28.27922953051141
CA,2018-03-31,36.66790164110702,362194.2921440593,1744.6604943116297,28.27880425256292
CA,2018-04-30,36.74647512387051,364552.36470333894,1767.3736503955013,28.23169147740563
CA,2018-05-31,37.06229985350758,366989.38024193875,1778.2392843467114,28.144708210249732
CA,2018-06-30,36.973974087875916,369035.7847021102,1795.4519220581274,28.15342889947228
CA,2018-07-31,36.77531501063547,370664.2874793021,1805.09931844142,28.17332647814984
CA,2018-08-31,36.765134063123135,372112.6641289991,1806.2440703602815,28.20802354989695
CA,2018-09-30,36.96582167400475,373297.6517850488,1810.382122252172,28.24287736688722
CA,2018-10-31,37.5759794684832,375056.6943410106,1804.6794762222207,28.298306595207627
CA,2018-11-30,37.63876279938983,376464.06204488385,1813.4226005504909,28.34569572150597
CA,2018-12-31,36.88001689268256,378048.86006897665,1818.8612057183284,28.3660381919011
CA,2019-01-31,36.40244821518001,379007.63678677555,1828.095843394152,28.369715928587443
CA,2019-02-28,36.33623367539347,380119.58480236004,1843.2019423984336,28.32713761324169
CA,2019-03-31,36.17825606943592,381155.5680201086,1849.1370570239217,28.311343126569
CA,2019-04-30,35.76900774028215,381962.0948064319,1865.8205240862965,28.2909024519317
CA,2019-05-31,35.49456482576139,382238.09667138336,1878.4162079059408,28.26130339730899
CA,2019-06-30,34.61405655996848,382405.8756512264,1890.796203383098,28.274622914401498
CA,2019-07-31,34.446295243933434,382605.78633655404,1898.6211547630471,28.322762038353687
CA,2019-08-31,33.95457450617119,383284.15436423896,1898.9171139877951,28.358311919585883
CA,2019-09-30,33.9211975877606,384260.9415241776,1900.45964347329,28.479927748053914
CA,2019-10-31,34.215797195545846,385811.73940247635,1910.1906501821377,28.59511162302261
CA,2019-11-30,34.31887309932147,387925.1106916261,1910.320422985692,28.7149732621167
CA,2019-12-31,34.488357461457184,390141.72973490536,1914.06946283872,28.79913857463663
CA,2020-01-31,34.17375958891331,392308.75126653386,1912.230199568422,28.88616520462866
CA,2020-02-29,33.774096169683155,394195.4057421953,1930.949497699043,28.96042039150462
CA,2020-03-31,33.61824699852222,396238.1200881314,1934.7189392382895,28.7268081423861
CA,2020-04-30,33.02212038304863,398161.04825365206,1929.903033783457,28.432128958763307
CA,2020-05-31,32.54522277957915,399083.4300401458,1918.20464449014,28.04524102559615
CA,2020-06-30,32.02139891052847,399137.6335389458,1919.536069568713,27.62906315273464
CA,2020-07-31,31.288893026898137,399359.28567466827,1938.8273085521887,27.10843949300295
CA,2020-08-31,30.921131971843014,401323.99643434066,2006.681203328632,27.054424306919714
CA,2020-09-30,31.05616029780021,405747.9429360403,1991.9649754671248,27.1412947556231
CA,2020-10-31,31.375932639843548,412067.9258793765,2007.065506091505,27.566574669558953
CA,2020-11-30,31.715911188490573,417965.92836423696,2020.9412401577968,27.923613794416756
CA,2020-12-31,31.77318664932502,423079.68046869914,2034.0222212414856,27.87720140770747
CA,2021-01-31,31.40483166555235,428241.8093720985,2048.1034291509345,27.77420549111676
CA,2021-02-28,31.877391105823634,433333.9925746134,2047.4672221877297,27.70096618503994
CA,2021-03-31,33.34218118671015,438586.86335871904,2045.671680277477,28.00211460086982
CA,2021-04-30,34.09490290560386,444958.37853428617,2051.387094580146,28.56742900014055
CA,2021-05-31,34.61368850394314,452956.39867330366,2076.951402755974,28.942333263960514
CA,2021-06-30,35.064177601411394,461193.7655216399,2099.4079881007115,29.078316473148856
CA,2021-07-31,34.92470061395889,469250.49431583006,2136.459464130282,29.263273645964848
CA,2021-08-31,34.9762301543282,475426.0041637658,2152.318708758984,29.5471290920721
CA,2021-09-30,35.43739599387514,480295.29680688644,2170.7843092876133,29.82122728290576
CA,2021-10-31,36.26673187184633,484646.3059929044,2174.534390701367,29.817963407715798
CA,2021-11-30,36.55963147841646,489870.86525713885,2189.68718851497,29.95393547787773
CA,2021-12-31,36.793545327167855,495647.7575591327,2202.1979199004318,29.915101341262503
CA,2022-01-31,37.968190662046055,502428.571659524,2190.2815196150314,30.0118760147369
CA,2022-02-28,39.59067066105439,509642.07395936217,2190.8563908819656,30.123271410786103
CA,2022-03-31,41.52884209547851,517868.34965694207,2213.9651523202724,30.25810570096169
CA,2022-04-30,45.136206558488794,525630.8876744553,2240.794825001135,30.370550517441853
CA,2022-05-31,46.50645133207314,532698.0225009151,2132.28670987034,30.376026286553582
CA,2022-06-30,47.88116748581494,537353.3132231268,2154.251028938648,30.30574837649354
CA,2022-07-31,47.27496927107309,537894.479476909,2158.0038966097673,30.164295132768608
CA,2022-08-31,46.059961133318126,534685.4183396499,2150.849418724343,30.00914176264658
CA,2022-09-30,49.29541786204997,496262.05775570753,2151.29310237723,29.812576901482004
CA,2022-10-31,52.24980575385833,522562.95563272625,2163.257713508393,29.707645307722803
CA,2022-11-30,51.48262405565892,516763.3351268168,2163.459660352396,29.529126467610027
CA,2022-12-31,49.220919671942596,511860.16122661886,2155.5072718715746,29.557273099434926
CA,2023-01-31,48.704046083133775,507509.29324190563,2162.997477501473,29.41075112135274
CA,2023-02-28,48.09806588101543,503952.7287660871,2115.407906810793,29.365678662051568
CA,2023-03-31,48.77889487904066,502577.5728118759,2162.0190100946493,29.19809889504264
CA,2023-04-30,47.76352296551237,502335.2173021966,2185.838600277936,29.15089038457698
CA,2023-05-31,48.051750416307684,504117.2243797148,2148.938863264695,29.027422027201965
CA,2023-06-30,49.29615463019523,504954.22653608106,2159.6754668125877,29.077810221789615
CA,2023-07-31,49.957324474806036,505349.327811268,2170.5160904631057,28.8879569651807
CA,2023-08-31,51.04851257680296,504403.4098715761,2175.8126120829597,28.96694327631354
CA,2023-09-30,51.60341736552239,503125.53992730874,2177.0437423942913,28.938496141076648
CA,2023-10-31,53.2302930524967,499599.19607494486,2173.451415924192,28.97319784251784
CA,2023-11-30,52.3511534607074,495664.64578630275,2165.278838170949,28.95734684690779
CA,2023-12-31,49.685419171070016,491897.2801624364,2160.056985254865,28.91655506626799
CA,2024-01-31,49.02633782638506,488258.38430537574,2163.8291333463703,28.933058117286606
CA,2024-02-29,49.52047443696303,486845.31133954105,2182.058750727089,29.08895191597303
CA,2024-03-31,49.73162527117648,488510.79205391795,2191.3518443978965,29.23351833511336
CA,2024-04-30,50.51990213112574,490926.65357008186,2206.682447874865,29.217494549772972
CA,2024-05-31,50.87725098228327,492449.1837687158,2217.570958322469,29.215456436470628
CA,2024-06-30,50.241358696077654,492714.2115609699,2227.882071078644,28.981346852196964
CA,2024-07-31,49.818125258087676,492548.83574324823,2175.5106191925065,29.012388651963306
CA,2024-08-31,48.27289710907105,492998.79022371065,2183.551843380196,29.070218225541232
CA,2024-09-30,47.05757531200991,493793.1894496215,2183.0826841443686,28.796439549312314
CA,2024-10-31,47.90684189583474,493722.58785597247,2179.9499595986968,28.98987984973994
CA,2024-11-30,49.28650790330796,492519.1475656795,2176.6540068493496,29.23350250906688
CA,2024-12-31,48.883477863662556,490338.7295082536,2166.25848048502,29.266571032658682
CA,2025-01-31,50.06121461373725,488341.2223713377,2166.0822788025785,29.293119472452066
CA,2025-02-28,49.479133257681895,486269.46743631957,2165.983572116895,29.32016673710172
CA,2025-03-31,48.482965232322584,484145.1722726583,2183.712199483173,29.193914211724714
CA,2025-04-30,48.49498893956544,483008.1233303462,2196.2792658082485,29.13242884919336
CA,2025-05-31,48.61783290604228,481633.639591244,2209.792981155291,29.0829692133454
CA,2025-06-30,48.44033380585209,480408.24689794146,2219.096177503538,29.09632652327459
CA,2025-07-31,47.895112195440916,478481.7847657228,2224.5884512806,29.049876381587783
CA,2025-08-31,47.107266689561534,476941.9670942653,2244.6096680336,28.979565222251146
CA,2025-09-30,46.07885107294993,476004.89653176593,2228.1450021425285,28.947129247668514
CA,2025-10-31,45.56661455751306,475816.90166733146,2225.2802014322347,28.92830941609777
CA,2025-11-30,45.44178217876801,476226.3475820251,2215.7599131855045,28.9416288881041
CA,2025-12-31,45.24454021380016,477111.2567542762,2109.2978931249763,28.964909851554225
CA,2026-01-31,44.86528770900839,477575.31664783857,2105.922993642268,28.9037213853156
CA,2026-02-28,44.58690773405075,479123.77600752504,2128.3106642855955,28.814951035630184
CO,2000-01-31,,174725.74116381563,,
CO,2000-02-29,,174996.04785533057,,
CO,2000-03-31,,174536.55196359137,,
CO,2000-04-30,,174129.05541417233,,
CO,2000-05-31,,173829.35045146744,,
CO,2000-06-30,,174482.35298574192,,
CO,2000-07-31,,175579.0018009226,,
CO,2000-08-31,,177011.80328575766,,
CO,2000-09-30,,178589.4674835992,,
CO,2000-10-31,,180478.7687009722,,
CO,2000-11-30,,182129.8809530729,,
CO,2000-12-31,,183402.5433558507,,
CO,2001-01-31,,184600.35781182625,,
CO,2001-02-28,,185718.1405291369,,
CO,2001-03-31,,187180.58622595435,,
CO,2001-04-30,,188582.3577160988,,
CO,2001-05-31,,190175.56130619792,,
CO,2001-06-30,,191504.7789093308,,
CO,2001-07-31,,192496.12961891625,,
CO,2001-08-31,,193564.7497281277,,
CO,2001-09-30,,194939.8772133514,,
CO,2001-10-31,,196672.7676879455,,
CO,2001-11-30,,198098.57972062292,,
CO,2001-12-31,,199358.0377170619,,
CO,2002-01-31,,200275.00401403083,,
CO,2002-02-28,,201153.0177348307,,
CO,2002-03-31,,202266.24283508383,,
CO,2002-04-30,,203484.4502514868,,
CO,2002-05-31,,204881.0657877511,,
CO,2002-06-30,,206017.92223441333,,
CO,2002-07-31,,207041.42173514,,
CO,2002-08-31,,207992.30139994735,,
CO,2002-09-30,,208932.95194726333,,
CO,2002-10-31,,209899.36380327845,,
CO,2002-11-30,,210643.0046972349,,
CO,2002-12-31,,211335.99307867672,,
CO,2003-01-31,,211924.4346941081,,
CO,2003-02-28,,212437.96160439064,,
CO,2003-03-31,,212671.0469332704,,
CO,2003-04-30,,212911.91315238216,,
CO,2003-05-31,,224376.8072636463,,
CO,2003-06-30,,224333.40832341844,,
CO,2003-07-31,,224282.50797773036,,
CO,2003-08-31,,224707.01122319273,,
CO,2003-09-30,,224965.2325325171,,
CO,2003-10-31,,225198.35493620572,,
CO,2003-11-30,,225333.48606723582,,
CO,2003-12-31,,225451.90098148072,,
CO,2004-01-31,,225538.76548045618,,
CO,2004-02-29,,225883.6933317241,,
CO,2004-03-31,,226391.22676045328,,
CO,2004-04-30,,227043.64714710292,,
CO,2004-05-31,,227744.56710581764,,
CO,2004-06-30,,228310.9261760583,,
CO,2004-07-31,,228994.14249372564,,
CO,2004-08-31,,229738.78077251976,,
CO,2004-09-30,,230628.0755949464,,
CO,2004-10-31,,231400.9827911436,,
CO,2004-11-30,,231742.43207198527,,
CO,2004-12-31,,231956.30098286396,,
CO,2005-01-31,,232230.0584544493,,
CO,2005-02-28,,232225.49185796708,,
CO,2005-03-31,,232336.26774328924,,
CO,2005-04-30,,232889.48472745903,,
CO,2005-05-31,,233215.52009189088,,
CO,2005-06-30,,233449.56580781564,,
CO,2005-07-31,,233363.2530516148,,
CO,2005-08-31,,233564.99719135993,,
CO,2005-09-30,,233803.5355899081,,
CO,2005-10-31,,249274.8138320712,,
CO,2005-11-30,,249688.8192370239,,
CO,2005-12-31,,234597.8581329463,,
CO,2006-01-31,,219072.69487830397,,
CO,2006-02-28,,219460.7292778853,,
CO,2006-03-31,,219869.04972768333,,
CO,2006-04-30,,235562.36067027965,,
CO,2006-05-31,,235859.52064540025,,
CO,2006-06-30,,236367.764164446,,
CO,2006-07-31,,236867.3637350171,,
CO,2006-08-31,,237358.97262624966,,
CO,2006-09-30,,237846.59440447472,,
CO,2006-10-31,,238055.68486608102,,
CO,2006-11-30,,237858.76818591077,,
CO,2006-12-31,,238355.0903874131,,
CO,2007-01-31,,239358.8541238691,,
CO,2007-02-28,,240380.80989828322,,
CO,2007-03-31,,241478.21342555195,,
CO,2007-04-30,,242871.188882788,,
CO,2007-05-31,,244722.1012966981,,
CO,2007-06-30,,246528.8834925008,,
CO,2007-07-31,,248192.1721562447,,
CO,2007-08-31,,249701.06549149624,,
CO,2007-09-30,,250727.15541234508,,
CO,2007-10-31,,251274.41290725948,,
CO,2007-11-30,,250637.0406732357,,
CO,2007-12-31,,249593.70225476674,,
