RegionID,SizeRank,RegionName,RegionType,StateName,date,zhvi,zori,homeowner_affordability,renter_affordability,geo_scope
753865,633,"Bardstown, KY",msa,KY,2026-02-28,263746.9592881832,1225.5833333333333,,,metro
394361,202,"Barnstable Town, MA",msa,MA,2026-02-28,735782.818773572,2686.402777777778,58.347639787477505,35.531494001451506,metro
394362,540,"Barre, VT",msa,VT,2026-02-28,378503.4891175486,1543.3333333333333,,,metro
394363,590,"Bartlesville, OK",msa,OK,2026-02-28,180073.62677511034,1125.9595238095235,,,metro
394365,545,"Batavia, NY",msa,NY,2026-02-28,212099.9350097296,,,,metro
394366,571,"Batesville, AR",msa,AR,2026-02-28,157236.97303958712,945.0,,,metro
394367,66,"Baton Rouge, LA",msa,LA,2026-02-28,241806.29678129064,1354.2965380502585,27.04263910500911,22.251603093866528,metro
394368,318,"Battle Creek, MI",msa,MI,2026-02-28,179710.67288339176,1152.361111111111,21.48168263821265,20.0262736712934,metro
394369,380,"Bay City, MI",msa,MI,2026-02-28,175919.3063091431,1276.6349206349205,21.56544285675922,22.27067161479997,metro
394370,751,"Bay City, TX",msa,TX,2026-02-28,200487.05305537695,863.1111111111112,,,metro
394371,891,"Beatrice, NE",msa,NE,2026-02-28,191815.2145641047,1025.0,,,metro
394372,140,"Beaumont, TX",msa,TX,2026-02-28,177552.82491372697,1273.3564063185606,24.747389506167668,22.130811191548432,metro
394373,420,"Beaver Dam, WI",msa,WI,2026-02-28,308261.07317485166,1220.5,,,metro
394374,358,"Beckley, WV",msa,WV,2026-02-28,142153.7490616855,1054.2222222222222,20.30799006476097,23.38764942935648,metro
394375,654,"Bedford, IN",msa,IN,2026-02-28,203788.2462025321,,,,metro
394376,808,"Beeville, TX",msa,TX,2026-02-28,160973.41287581212,,,,metro
394377,638,"Bellefontaine, OH",msa,OH,2026-02-28,241872.9129032501,1181.0,,,metro
394378,205,"Bellingham, WA",msa,WA,2026-02-28,606918.447266614,1922.10357540124,48.9357020763355,25.17501749772006,metro
394379,637,"Bemidji, MN",msa,MN,2026-02-28,255905.7482451666,1419.2857142857144,,,metro
394380,232,"Bend, OR",msa,OR,2026-02-28,660309.6868054311,2144.677065968088,46.52081175699297,25.18893980185038,metro
394381,846,"Bennettsville, SC",msa,SC,2026-02-28,118738.8308754587,,,,metro
394382,736,"Bennington, VT",msa,VT,2026-02-28,357530.7730576032,1554.1666666666667,,,metro
394383,805,"Berlin, NH",msa,NH,2026-02-28,248059.7347665105,1412.5,,,metro
394384,697,"Big Rapids, MI",msa,MI,2026-02-28,214865.95924970057,1083.6666666666667,,,metro
394385,770,"Big Spring, TX",msa,TX,2026-02-28,141289.8228627053,1207.2222222222224,,,metro
753866,695,"Big Stone Gap, VA",msa,VA,2026-02-28,124597.97391683188,,,,metro
394386,239,"Billings, MT",msa,MT,2026-02-28,398725.1500176991,1364.3484035344502,34.76767967512552,19.9301393540041,metro
394387,195,"Binghamton, NY",msa,NY,2026-02-28,186801.595038872,1266.1761734997028,22.34804672973099,21.98536341877519,metro
394388,51,"Birmingham, AL",msa,AL,2026-02-28,255599.9053013368,1405.9765644666438,24.33612743265914,21.13865317970282,metro
394390,324,"Bismarck, ND",msa,ND,2026-02-28,344035.3431104712,1326.140246449457,29.71148162838669,17.2105370501718,metro
394391,623,"Blackfoot, ID",msa,ID,2026-02-28,373247.0327608308,1112.5,,,metro
394392,265,"Blacksburg, VA",msa,VA,2026-02-28,279324.28593428724,1728.346618357488,30.493776637245563,30.083282487883373,metro
753869,255,"Bloomington, IL",msa,IL,2026-02-28,248376.8546451983,1329.4384057971013,26.85555972758602,18.51741220651274,metro
394393,270,"Bloomington, IN",msa,IN,2026-02-28,291688.51891227905,1475.372978129709,31.26797377117594,24.8782146488864,metro
394395,439,"Bloomsburg, PA",msa,PA,2026-02-28,238697.8231010268,1166.9642857142856,26.42468309216759,19.34263811908631,metro
394396,371,"Bluefield, WV",msa,VA,2026-02-28,137562.1913848532,883.75,,,metro
394397,689,"Blytheville, AR",msa,AR,2026-02-28,109926.04066960236,,,,metro
394398,643,"Bogalusa, LA",msa,LA,2026-02-28,126681.4352893674,,,,metro
394399,79,"Boise City, ID",msa,ID,2026-02-28,485779.9171934578,1758.0919551998013,35.40212070956901,22.36190892409957,metro
786252,761,"Bonham, TX",msa,TX,2026-02-28,,1400.9444444444443,,,metro
394402,577,"Boone, NC",msa,NC,2026-02-28,492476.2767122156,1877.767676767677,,,metro
394403,899,"Borger, TX",msa,TX,2026-02-28,118279.52141533472,,,,metro
394404,10,"Boston, MA",msa,MA,2026-02-28,713764.4383542062,3097.7323271060063,43.44773722518419,29.741727448013002,metro
394405,156,"Boulder, CO",msa,CO,2026-02-28,713733.3620557905,2237.674005656929,47.97655503842862,24.801917191059637,metro
394406,248,"Bowling Green, KY",msa,KY,2026-02-28,261658.51955252155,1250.1911409491331,28.424944460786588,21.63702346726015,metro
394407,356,"Bozeman, MT",msa,MT,2026-02-28,689969.5320615952,2126.43425925926,43.94703437052938,22.811468257747862,metro
394409,692,"Bradford, PA",msa,PA,2026-02-28,104398.84510225458,,,,metro
394410,408,"Brainerd, MN",msa,MN,2026-02-28,343336.0390260152,1184.222222222222,,,metro
394411,561,"Branson, MO",msa,MO,2026-02-28,243786.07281853072,1475.5158730158728,,,metro
753871,811,"Breckenridge, CO",msa,CO,2026-02-28,972835.8108536324,3438.9076923076923,,,metro
394412,181,"Bremerton, WA",msa,WA,2026-02-28,573884.8009580197,1980.3545742232448,36.2760590901896,20.36255112434786,metro
394413,759,"Brenham, TX",msa,TX,2026-02-28,363749.9758332014,1435.2777777777776,,,metro
394414,792,"Brevard, NC",msa,NC,2026-02-28,465179.4985649013,1986.1111111111115,,,metro
394415,60,"Bridgeport, CT",msa,CT,2026-02-28,656749.4983476335,2730.9398357139253,43.19415617907234,26.702229559012768,metro
394417,766,"Brookhaven, MS",msa,MS,2026-02-28,163204.86190453594,,,,metro
394418,880,"Brookings, OR",msa,OR,2026-02-28,444249.68580211344,,,,metro
394419,778,"Brookings, SD",msa,SD,2026-02-28,307673.4806316884,1447.103988603989,,,metro
394421,130,"Brownsville, TX",msa,TX,2026-02-28,203175.412225448,1423.890852949724,30.65294069615228,30.558699949325902,metro
394422,721,"Brownwood, TX",msa,TX,2026-02-28,178049.83823200277,,,,metro
394423,360,"Brunswick, GA",msa,GA,2026-02-28,319361.3643397582,1660.8489278752438,34.14307569885245,27.060204984757867,metro
394424,683,"Bucyrus, OH",msa,OH,2026-02-28,153188.95935843882,,,,metro
394425,50,"Buffalo, NY",msa,NY,2026-02-28,271753.1819070287,1374.310884598038,26.03179750745571,21.64612696827872,metro
394426,640,"Burley, ID",msa,ID,2026-02-28,327677.8444410167,1400.0,,,metro
394427,649,"Burlington, IA",msa,IA,2026-02-28,138285.57568147476,867.25,,,metro
394428,260,"Burlington, NC",msa,NC,2026-02-28,290176.4754747896,1384.806514206514,33.03650931661605,24.02051791756416,metro
394429,206,"Burlington, VT",msa,VT,2026-02-28,455917.576157333,2143.531033781034,33.01190048502417,27.62458530684758,metro
394430,764,"Butte, MT",msa,MT,2026-02-28,274030.39722454775,1317.7777777777778,,,metro
394437,612,"Ca-¦on City, CO",msa,CO,2026-02-28,334849.3512475336,1330.059523809524,,,metro
394431,617,"Cadillac, MI",msa,MI,2026-02-28,221897.1936843285,,,,metro
394432,553,"Calhoun, GA",msa,GA,2026-02-28,273262.0289018524,1612.6666666666667,,,metro
753872,361,"California, MD",msa,MD,2026-02-28,422174.4481896966,1806.9700077399384,30.016217759179607,20.28415390424862,metro
394433,799,"Cambridge, MD",msa,MD,2026-02-28,270972.84141300776,,,,metro
394434,714,"Cambridge, OH",msa,OH,2026-02-28,158302.72035323305,1025.0,,,metro
394435,839,"Camden, AR",msa,AR,2026-02-28,104664.09163459728,,,,metro
394436,739,"Campbellsville, KY",msa,KY,2026-02-28,198026.7268012548,,,,metro
394439,137,"Canton, OH",msa,OH,2026-02-28,207278.0071210893,1026.3690656565657,23.30969648173267,16.71488477349278,metro
394440,78,"Cape Coral, FL",msa,FL,2026-02-28,339621.0341181514,1842.1782647945888,32.385942238873625,24.75591886619529,metro
394441,405,"Cape Girardeau, MO",msa,MO,2026-02-28,224799.5608367716,1011.8000730994152,25.43498366553234,17.863729759880258,metro
394442,321,"Carbondale, IL",msa,IL,2026-02-28,148057.3611105969,860.8630229419704,26.10046496546239,18.16519257971317,metro
394443,530,"Carlsbad, NM",msa,NM,2026-02-28,238820.5420151241,1761.8703703703704,,,metro
394444,551,"Carson City, NV",msa,NV,2026-02-28,482982.7417114234,1771.1944444444443,53.5428914632637,33.405008699690455,metro
394445,454,"Casper, WY",msa,WY,2026-02-28,303813.0631932323,1224.080808080808,30.55018933813915,19.78631942808641,metro
394446,562,"Cedar City, UT",msa,UT,2026-02-28,403936.42387516046,1546.0227272727273,,,metro
394447,179,"Cedar Rapids, IA",msa,IA,2026-02-28,233266.0835311804,1115.3528168366877,24.9564912999528,16.83937980842071,metro
394448,675,"Cedartown, GA",msa,GA,2026-02-28,214094.6067506465,,,,metro
394449,681,"Celina, OH",msa,OH,2026-02-28,263102.17022113845,,,,metro
394451,728,"Centralia, IL",msa,IL,2026-02-28,120982.11150882892,,,,metro
394452,447,"Centralia, WA",msa,WA,2026-02-28,423770.5725692439,1541.550925925926,,,metro
394453,277,"Chambersburg, PA",msa,PA,2026-02-28,281464.72131008893,1197.4199346405228,31.027163782851392,18.55762344418405,metro
394454,209,"Champaign, IL",msa,IL,2026-02-28,226413.18039529904,1305.8285903814265,29.80558259511567,23.0368881932086,metro
394456,549,"Charleston, IL",msa,IL,2026-02-28,144855.12739399166,,,,metro
394457,75,"Charleston, SC",msa,SC,2026-02-28,427769.2379502085,1968.753252326748,32.86046935319727,24.603044413169563,metro
394455,192,"Charleston, WV",msa,WV,2026-02-28,142363.00996502707,1030.9276018099547,16.920293931287837,18.87652365631925,metro
394458,23,"Charlotte, NC",msa,NC,2026-02-28,382567.16968867794,1715.7586937668027,30.895790596987787,22.59576693555613,metro
394459,212,"Charlottesville, VA",msa,VA,2026-02-28,457384.81826793606,1962.5423047102151,34.05262647235961,23.35922655089928,metro
394460,102,"Chattanooga, TN",msa,TN,2026-02-28,315851.77158983453,1499.992890314453,29.32951089529246,22.763420216741608,metro
394462,391,"Cheyenne, WY",msa,WY,2026-02-28,382159.1906898904,1500.142735042735,32.75704110640153,20.08058071274298,metro
394463,3,"Chicago, IL",msa,IL,2026-02-28,338685.2991077523,2132.285103756572,33.66235909417308,26.84313480665911,metro
